,Condition,count,mean,std,min,25%,50%,75%,max
Performance (%/ms),Control,128.0,0.7460257679765625,0.1282525138135579,0.430150873,0.67033566025,0.7463907275,0.82243950575,1.037171239
Performance (%/ms),Non-synchrony,132.0,0.7002520715606061,0.134908043556743,0.416030935,0.59826654625,0.6945139899999999,0.8041771962500002,1.01679984
Performance (%/ms),Synchrony,133.0,0.7670295104210527,0.12834695448608224,0.46692298,0.677788163,0.773621034,0.8539361529999999,1.032064782
Pupil Size (mm),Control,77.0,4.988072454181819,0.7197093133892379,3.139013196,4.456634783,4.993910035,5.565074342000001,6.34140411
Pupil Size (mm),Non-synchrony,84.0,5.040568470666667,0.7606646950896853,3.122534946,4.47115581025,5.059550591,5.64186595625,6.8187243120000005
Pupil Size (mm),Synchrony,82.0,4.946258397048782,0.7460413217748928,3.17766361,4.42156967625,4.915868501,5.560717274,6.537758966
LHIPA,Control,77.0,2.3664515366363643,0.21957416178499614,1.56582537,2.236539909,2.41246007,2.517087548,2.880474035
LHIPA,Non-synchrony,84.0,2.3448022571309513,0.31487875756571,0.955691376,2.320485305,2.4430797065,2.4913536069999997,2.7421927939999997
LHIPA,Synchrony,82.0,2.394001424707317,0.21450860492217463,1.9143861030000002,2.28189344925,2.4195848105,2.4887994940000002,3.358075412
Fixations,Control,77.0,485.2857142857143,63.621590414868535,243.0,448.0,479.0,529.0,650.0
Fixations,Non-synchrony,84.0,500.73809523809524,89.73980044707017,126.0,451.75,499.0,541.0,734.0
Fixations,Synchrony,82.0,476.5975609756098,67.41393411229045,160.0,437.25,465.0,520.5,641.0
Beat Variance,Control,121.0,0.00789532994214876,0.007744090883822623,0.001664975,0.00330831,0.005501615,0.009697179,0.06331271200000001
Beat Variance,Non-synchrony,123.0,0.010962524902439028,0.009293265532430057,0.0018753379999999998,0.0048165765,0.008074628,0.0135116035,0.061696164000000005
Beat Variance,Synchrony,124.0,0.00706919476612903,0.005203394029571882,0.001504124,0.0034864749999999997,0.005910720500000001,0.00836193825,0.027325325
Beat Mean,Control,128.0,0.4837592187656249,0.029744788844552714,0.33971012,0.48446879574999996,0.49366538449999997,0.49798644275,0.5241075479999999
Beat Mean,Non-synchrony,132.0,0.49848371228787913,0.03613692169619654,0.34679492799999995,0.48523961000000004,0.5000090365000001,0.5171425025,0.567102739
Beat Mean,Synchrony,133.0,0.4867967167744361,0.027860119530714184,0.341054694,0.48600173700000004,0.49408873,0.497925864,0.545467605
